repo,BFC_sha,BIC_sha
glfw/glfw,c43f0829936203adf2e6d42d3697e43c47092a07,4d146cb39d
libsdl-org/SDL,a2e05480d63cac530269c846422e7de3b44e830f,919cd56b20c59249bdde3bb005aeeb8f6550f3e3
jqlang/jq,cca3e92854db2a8d8059cf31bb1c74657065024f,9760245
jqlang/jq,4d05dc55a374c076d6d3837a09246a4f4cc694c3,9760245
jqlang/jq,1cdcff1c01ff4681f8d73ec4ba9689a702c4c17a,8ca07a0
jonas/tig,e4e63b9dc9ba5c48ee26c06ca168e32c7b5c08be,2a8ef0ffbc6c52270c9ce60d16dcf2c544428f92
jonas/tig,a3f39c5f3e1e92a59bac05498e8622be1819f922,328ecea246928661045cec741503df695b2dd81a
jonas/tig,f7efb4dad86bc0317f18817d243c5d7b015cdbd6,80e97cdd456dfe71d0dbf32d77a73bb5a2ab158e
OpenVPN/openvpn,8ceb9619a26f8c507bafbc6d59aed3f65a30455d,5f6c01ea6172ed
OpenVPN/openvpn,970c4bd2e473f625699bd56db44c1970a9e10ed9,db950be85d37
rsyslog/rsyslog,9bc4c49d0705db2656a56fe14a5a2cfe3f6c9ac2,9ac56b286
rsyslog/rsyslog,9e520b07a554c30b63e76e87f7cee63050ccc1a4,2d15cbc8221e385c5aa821e4a851d7498ed81850
limine-bootloader/limine,411d735e919d59432b017a3f9568cbd7280ae329,25e1194
limine-bootloader/limine,62198ba1b04a5d3c5a64943cfe481e6bffd11f4d,25e1194
chocolate-doom/chocolate-doom,0cd3b7e5f8634468676b3b6ff1a525837bf3de2d,b0585fa6
openzfs/zfs,7bb1325f95d0c11a2145ff99ae15057adfbae0ac,64c688d
openzfs/zfs,e6603b7c1fc7ac01f8891b11df34d943812153e9,b39c22b
openzfs/zfs,b858767a31bc80cc9a65d1e7af70213916bfa34a,1715493
openwall/john,790d23b24b78b07c26c299ac7adbc100a108d9ef,00655ad63
openwall/john,cb9a35eb023a9ed208fc1b87dc9c78132fb17653,be39643
openwall/john,6d2afb2a9a2734585983c8ecee0796e444da50b0,0a026d5
openwall/john,c0e334a1f4ac3230a55bf3c471fc4c821994eaa6,f6af7d7
openwall/john,f02231c42abec510fd9c0914792b940b3075a056,6c1b599
openwall/john,2603301665a16e029225d79b75b4f56b63a48685,f5366a2
openwall/john,15949eb054300264b3d2f5de242fc1ca84b65ae7,11e5191
libgit2/libgit2,05e891f1f1bad3e2729a2e3800b314d5b63d43eb,20a2b02d9a1bcb4825ec49605146223c565dcacf
jemalloc/jemalloc,c7d52980275b22f64c672ebaede28dc95d4f1820,d412624b25eed2b5c52b7d94a71070d3aab03cb4
jemalloc/jemalloc,708ed79834fc3b8e5b14dbb0128a0ebfce63a38f,594c759f37c301d0245dc2accf4d4aaf9d202819
jemalloc/jemalloc,f11a6776c78a09059f8418b718c996a065b33fca,9c43c13a35220c10d97a886616899189daceb359
i3/i3,8ce5f2a21bfc2194a0cca1da223778bcb29872af,7154fecbb
betaflight/betaflight,db36cfe12e70171c8d986b8587e2183dad0dc156,c06fd78b834582349e1aaed07f582ae0c9fd3462
htop-dev/htop,4ef3e1f1bb014cec9504e5247d0a0ad999597b9d,74b28849c4ee7234aa6018667ff6c8c9a6b41273
fontforge/fontforge,a18865e9a215639ce1e7e229387dac87c87c5002,36554a668c7cf3445a5e9eae0cffb675d20395e4
Airblader/i3,8ce5f2a21bfc2194a0cca1da223778bcb29872af,7154fecbb
ravynsoft/ravynos,7623cc8f65ab1b28690d4a6580ae87b7926ed008,e582d4a2b09e
ravynsoft/ravynos,8b19898a78d52b351f4d7a6ad1d8b074d037e3b7,555a861d6826
ravynsoft/ravynos,88024c4a520bf762cf4154d730ad9784ed2acd90,26c29e743bbdbb82762540f72d4bc449bae2e092
ravynsoft/ravynos,d6f9c5a6d2f87865f9714d2b8dfd1a9f3080c71e,e0a0a3ef
ravynsoft/ravynos,10625515ad47b52f38c13f4f1d8f8c848e9df4ee,e0a0a3ef
ravynsoft/ravynos,7bb1325f95d0c11a2145ff99ae15057adfbae0ac,64c688d
ravynsoft/ravynos,e6603b7c1fc7ac01f8891b11df34d943812153e9,b39c22b
ravynsoft/ravynos,b858767a31bc80cc9a65d1e7af70213916bfa34a,1715493
mozilla/mozjpeg,837e471a90e79b37cb4f7ef9950321f48c7c5f41,300a344d653d4a8779706e42828d945c6a53ff9d
mozilla/mozjpeg,c0b16e3d2b35b5b5d805832fcfa615300c6e345b,479501b07c0afd8912a0e0f5b4740cfce9a89a4c
mozilla/mozjpeg,c743009717878cb22a5434c798dae5d3879d6ca2,a09ba29a55b9a43d346421210d94370065eeaf53
mozilla/mozjpeg,a0047bdea4d11dfeefb9ea797865b1a2ea0a665e,dfefba77520ded5c5fd4864e76352a5f3eb23e74
mozilla/mozjpeg,dfefba77520ded5c5fd4864e76352a5f3eb23e74,a09ba29a55b9a43d346421210d94370065eeaf53
axboe/fio,323876fbe897cf5748d94826380d7d907ebbee17,8c43ba62
axboe/fio,d33db728d79386d544be93c24f4e3383f2a47143,8c43ba62
haproxy/haproxy,c16eba8183a0f362cd7d72beba3080ecf5449c87,64c9c8e
haproxy/haproxy,9d4a44e7137fba2c7ca2823174ba1168290a1c3b,2462e5bcc
haproxy/haproxy,efc5a9d55ba46a934f1474802b90c679461ebc92,c55015e
haproxy/haproxy,f4f14eacd37e9de47bf9ecfbbd04a68baf6617ee,85888573
haproxy/haproxy,858885737c1d2672d5b1ba80a58c0bb585a0b981,b90d2cb
haproxy/haproxy,541a534c9f64c505380b936ff15ce91a8179dfa0,44b3532
haproxy/haproxy,d913800a7d680fdd7e7864463d5fa936b9d58fa8,0b3e849
mruby/mruby,b47c8b738ae3e400ec02269fae9857222218e9d5,375d22b
tianocore/edk2,04dd0cb972cd35f4bf59f5692096a65b840156d5,7a0df26
tianocore/edk2,ade71c52a49d659b20c0b433fb11ddb4f4f543c4,684db6da64bc7b5faee4e1174e801c245f563b5c
tianocore/edk2,1c4cecc9fd314de0dce8125b0d4b45967637a401,2ec7953d49677142c5f7552e9e3d96fb406ba0c4
tianocore/edk2,5e45a1fdcfbf9b2b389122eb97475148594625f8,041d89bc0f0119df37a5fce1d0f16495ff905089
tianocore/edk2,61a62fc2587ae4d01718124f28e1ea0e60375902,bb685071c2602cf786ea84c69bbebf2158194a38
tianocore/edk2,e037e88cd81d4ac63dd627719c87c305bf0b439e,0c9f2cb10b7ddec56a3440e77219fd3ab1725e5c
tianocore/edk2,c882bdc6712314f255c92d7c951eaf9760a9de38,0a28d02d9fb5293757c507e592a4d0404a7ecf74
tianocore/edk2,0c687d02c76592832de73850e1dc81115311318a,cd64301398876d0b3700f882b3eea12657510a70
gluster/glusterfs,63ad603542044e473118d33bcc02f121c86beaa7,2ca6441
RfidResearchGroup/proxmark3,89cbe3c7df34f7a98828c56d2f6d1dea2a1d5d07,8543db11b59f34ca120a1e6eea7f5b43adee8dac
libjpeg-turbo/libjpeg-turbo,837e471a90e79b37cb4f7ef9950321f48c7c5f41,300a344d653d4a8779706e42828d945c6a53ff9d
libjpeg-turbo/libjpeg-turbo,c0b16e3d2b35b5b5d805832fcfa615300c6e345b,479501b07c0afd8912a0e0f5b4740cfce9a89a4c
libjpeg-turbo/libjpeg-turbo,c743009717878cb22a5434c798dae5d3879d6ca2,a09ba29a55b9a43d346421210d94370065eeaf53
libjpeg-turbo/libjpeg-turbo,a0047bdea4d11dfeefb9ea797865b1a2ea0a665e,dfefba77520ded5c5fd4864e76352a5f3eb23e74
libjpeg-turbo/libjpeg-turbo,dfefba77520ded5c5fd4864e76352a5f3eb23e74,a09ba29a55b9a43d346421210d94370065eeaf53
varnishcache/varnish-cache,3730f544db89ab487c0e0e775969edf9c12f63b6,eabe58bc6633012dd01ba8f2a131f4e8cd351b2e
varnishcache/varnish-cache,05356fb7c6c10d3ddd9766f474da679046922422,c1352b0b0ece8028317c838751d9042a55347cd5
varnishcache/varnish-cache,46a6a3af681644f43e2e813ee68f8bd53b4cd1bb,340abd0456e4
DPDK/dpdk,a91fb48a8c248293f1035cdd8b36ad712ae9478f,b10231aed1ed
unbit/uwsgi,a6b1680f119306fb5995d649b9ff17f46f28838a,00dce4265784903a3bf440834ab269fceaf5a14b
krakjoe/pthreads,4e296c542294ddc65bdb9c10ae6e1dd770a986e7,edf81d3cc0f34c1fcb3f8f14435a9a122f6e482f
iNavFlight/inav,db36cfe12e70171c8d986b8587e2183dad0dc156,c06fd78b834582349e1aaed07f582ae0c9fd3462
collectd/collectd,e8719df2ed7b9480ffcecc0b68993b74a0714b11,3b9c7b2
collectd/collectd,a07f44c9cd5828a84545dcfe22544bfed2ea8812,3b9c7b2
containers/crun,9085e62fa2d540f1e5b2b08f8b08143a3c5df064,7179d71afd608f5e85740b2b4b83f9b41fbe1b15
containers/crun,785675f88f9ee37b7faa9bec98c76caffda51afd,fe15d5651a132288f1e894c60f75852beea217e2
containers/crun,53e4621a62faf6a0e561bbb878a847e11c1a947a,d1f136875a205e2055215776e3d46f7b55065865
checkpoint-restore/criu,01f113ecd3c7d6ed510f4076d1eda76fd9d2e6be,01f8f8f4
hexchat/hexchat,e7c88e0f83f40f9d020aa7d2783e95dff55f323f,03767ee0f98
NetHack/NetHack,ba5efe7f61598b731f7c8d0c28ecc43e2a978061,f218e3f15e2d5525e817fb07e6a8b4773f296073
xemu-project/xemu,930e239d11e28a3e8c01bae6c38f8894cfe66eb3,4987783400
xemu-project/xemu,df72184ec15829053b3bb5a0d5801773b6d9ec25,2f2b18f60bf1
xemu-project/xemu,32a354dc6c07d766e70b51f42a62d8cd479e3f82,cd5ff8333a
xemu-project/xemu,0eaf453ebf6788885fbb5d40426b154ef8805407,e6df58a5
xemu-project/xemu,dbb6da8ba7e02105bdbb33b527e088249c9843c8,848a1cc1e
xemu-project/xemu,4ae4bf5bb16bd8e5b94433db9fe8265d30c53ba3,d62644b4
xemu-project/xemu,6dd836f5d32b989e18c6dda655a26f4d73a52f6a,42043e4
xemu-project/xemu,82a93a1d307064f35c363f79b04b0a0149ac53d9,aab9913
xemu-project/xemu,fb0e8e79a9d77ee240dbca036fa8698ce654e5d1,9b6a3ea7a699594
xemu-project/xemu,349a3b1cc9023f67f8fa336cb3c4a8f21a4aaaf3,595a4f07
xemu-project/xemu,d32934c84c72f57e78d430c22974677b7bcabe5d,5d24ee70bcbcf578614193526bcd5ed30a8eb16c
xemu-project/xemu,8a8f5840082eb65d140ccfe7b128c92390cce1c3,fb6d1bbd246c7a57ef53d3847ef225cd1349d602
xemu-project/xemu,ddcb73b7782cb6104479503faea04cc224f982b5,b9d03e352cb6b31a66545763f6a1e20c9abf0c2c
xemu-project/xemu,2da8bb92fb128e686dc9e055defbc5652f7c001d,80376c3fc2c38fdd45354e4b0eb45031f35587ed
xemu-project/xemu,81bbe906c89b6b7af58a1eeb96ec5a0bfdc3386f,703e0e89
tvheadend/tvheadend,4741b3c1901d4c998b1c5ef7c777728b4827e828,86f3617c8972c5362e51cee7d34cc2d69d799126
gpac/gpac,c5f08cda6a17dd484721a7e1b20d4c5e10b63d46,fc3dda25
gpac/gpac,05ebaaf712cfe11a77b3290143426cbce441e4ee,c08973cc
gpac/gpac,ff0259744b7c37541949d562ca085a14fb5974ec,ed4c942f
gpac/gpac,2a9436ba354964936b6ebc953afa5f6117c4e267,f8ce5083
gpac/gpac,b23408b107fdec60425364464352d56bfdf53366,621f1cab
gpac/gpac,b22e3409c6741e75373952396c642ed046bff6b6,94cf5b14
gpac/gpac,76caa7f5d069f203c4b8a17ba15185665ae96dde,5e1f084
gpac/gpac,2f3c519c7bf161cadcf24e40570ca58f5fc668ca,7bcb436a
gpac/gpac,7bcb436af55e5ac01f28bd77b6a030f7d9aa145d,04c6c8f
gpac/gpac,58cb738aa8bf640dbb4fde310b8bf7decd2dfa78,7bc17e49
gpac/gpac,b9158f89f52e527aca97f6b4720c66697bb7a5c6,9fd9fe05
gpac/gpac,9fd9fe05b420107eb214c59d2df832b661293e1b,9e14ae6a
gpac/gpac,905980e05f79e224efd1f3ff992089750ad1ea55,f97d1561
gpac/gpac,40b4583f8c2f1e09a353b7956f9f4e4f0e7c566f,fe96c94c
gpac/gpac,80af694aa0246083f5a90d8402775077a6c49536,ff8a086f
gpac/gpac,d003a572d57940460eb0bffbdbb824b59d4ddac9,7bb1b4a4
gpac/gpac,b4d25ac3bd6e852eb017d941de03ee3dde56cea2,ca1f79a5
gpac/gpac,34b350588bda977b4ddbc77323843b059cfd92b6,d699e586
gpac/gpac,99c6dbd9bbca67a25705858a58fba3157514a72b,528d8ee3
gpac/gpac,cbe62b08c82b07a6da7805b862b278aabf2a202c,1392d904
gpac/gpac,817d073a501b9e32afb6237a4594630ce55bc807,281f990b
gpac/gpac,78a8795859c9b86f34d24a839bd742f121234511,b8f8b202
gpac/gpac,7b20f80fb9ad94d35ea41de86534ded494a9a956,bebd291
gpac/gpac,4319318d40064fb5402b4e97316d389ab75acb1f,ebfa346e
gpac/gpac,73f0d29faa26430b88d62cd21c603ffaa47e45c0,653e0d2d
gpac/gpac,da84c99d3c5b6a6b23101c1de8c14bb0d96be903,54f21e3
gpac/gpac,c4f8bc6e61348a951d37756e2d831c0b9c1b2c16,15119f20
gpac/gpac,a89d242108f7abf6d099cf983f0fd422ac461cd6,6426ef84
gpac/gpac,210f598c907f39cafb57a07c989140568d0ce0dd,4ef8c11c
gpac/gpac,93c5696a3de98a4e4aa561e2ca23019ca29e328b,833cea09
gpac/gpac,a177f9314f765200a68f5eb51e5edc6561052cb7,6d229978
gpac/gpac,13b3f61a128837f48df875126812bc1166d3dce1,6692db41
gpac/gpac,b4b94447f37d2d730ebf5efde9180a2daf8be4e0,0e6bd1c1
gpac/gpac,39367c29f21232e61f6883607c1d1c677bc28ccd,211ab52d
gpac/gpac,5fbc6fd1a38e78b9e9800bcdc1e9e21e461c83e9,74bb8692
gpac/gpac,58f9f135630fb4f5557f36c0b2d87e50f3afcf08,cdc5d3a3
gpac/gpac,9a2ca54fa60bf4bf38df7c5fbd6b62f37cd39d84,f2f3b429
gpac/gpac,f2f3b429a6c9021a08bffe25943004081a9e669c,b54a98db
gpac/gpac,314be05281f2f3300d205f19e71beaeea0538705,2d898eda
gpac/gpac,98508c22626cda8d55339f9d1aecfd3f4600842d,976ea834
ElementsProject/lightning,79443d6f94c1db01f69b297b01eca44ebaec4d12,6ceb375650af30682027cdc22e6d029b4382f423
espruino/Espruino,386d845487cf4ac1b515760f8f0f2a31995c689f,5af2cda721ef045d51e585c69c660287bd10debf
espruino/Espruino,80c31d6ede52a4e205fb5b6d53a65d71550f790a,5af2cda721ef045d51e585c69c660287bd10debf
vifm/vifm,631b3cb6950e3c56d5a23449bb43b330fa55e912,7f32f8a45b
vifm/vifm,b55977eadc0a479451b57573a6555ab92379e2ec,5497f13d71548631ce4ace8146d166d71adad6b7
vifm/vifm,31171936614a46e18927da676aea50a232af663e,1a5a0571c37cdc81fcfeb7cba763844cd9591320
vifm/vifm,d07d7a8975a03f40e2d66f5d7483bcfbf40b0258,6e8fb6c3379ce9015740530d9bdc5c63b13636be
vifm/vifm,c5edac5cd0a5126216270c8999e2b8df5cf305b5,984c2c12dbec459
vifm/vifm,f6103dd40e7c9a581582da5be431c8abe78e8e53,7325b00d
util-linux/util-linux,651c5d428c2ef103ee8c5b1a310d6f29f0304744,5c7b67fbbf41c973ca8d49b1e8bdba22dbb917aa
OpenSC/OpenSC,6dfeb9959ffd98f0cd044fa98ad3f29d676cd293,45ad44e
cleanflight/cleanflight,db36cfe12e70171c8d986b8587e2183dad0dc156,c06fd78b834582349e1aaed07f582ae0c9fd3462
saitoha/libsixel,908c8eb3721e34150ddd939a113703b7532eee6c,0221665
xiph/opus,e98f1f50032f09b196879eeec55ad42200eefd1a,220a7d4b
xiph/opus,7d1df73ff296caf762660952a3950091bef90d25,e5736ae2
asterisk/asterisk,39d3e1ef6e4ab4a5fd64418a01bd1a3cedef699e,0b6410c4f8
open-mpi/ompi,672d96704cc165b91c7bcf263e97704affcd5f20,eed7b45db59b356f6257f3b019e77643f14f84ce
FreeRDP/Remmina,9ed4c438dfb6522c4865362ce3e65bfa169988e8,2609548e
TinyCC/tinycc,e0fe69050d2df59da7370875c4f5eb557618e20c,6245db9
d0k3/GodMode9,e477ec0a180aaedb504ee5e6bf9a89a947b898a9,bfc3363
rsyslog/rsyslog,9bc4c49d0705db2656a56fe14a5a2cfe3f6c9ac2,9ac56b286
rsyslog/rsyslog,9e520b07a554c30b63e76e87f7cee63050ccc1a4,2d15cbc8221e385c5aa821e4a851d7498ed81850
limine-bootloader/limine,411d735e919d59432b017a3f9568cbd7280ae329,25e1194
limine-bootloader/limine,62198ba1b04a5d3c5a64943cfe481e6bffd11f4d,25e1194
chocolate-doom/chocolate-doom,0cd3b7e5f8634468676b3b6ff1a525837bf3de2d,b0585fa6
TrungNguyen1909/qemu-t8030,df72184ec15829053b3bb5a0d5801773b6d9ec25,2f2b18f60bf1
TrungNguyen1909/qemu-t8030,32a354dc6c07d766e70b51f42a62d8cd479e3f82,cd5ff8333a
TrungNguyen1909/qemu-t8030,0eaf453ebf6788885fbb5d40426b154ef8805407,e6df58a5
TrungNguyen1909/qemu-t8030,dbb6da8ba7e02105bdbb33b527e088249c9843c8,848a1cc1e
TrungNguyen1909/qemu-t8030,4ae4bf5bb16bd8e5b94433db9fe8265d30c53ba3,d62644b4
TrungNguyen1909/qemu-t8030,6dd836f5d32b989e18c6dda655a26f4d73a52f6a,42043e4
TrungNguyen1909/qemu-t8030,82a93a1d307064f35c363f79b04b0a0149ac53d9,aab9913
TrungNguyen1909/qemu-t8030,fb0e8e79a9d77ee240dbca036fa8698ce654e5d1,9b6a3ea7a699594
TrungNguyen1909/qemu-t8030,349a3b1cc9023f67f8fa336cb3c4a8f21a4aaaf3,595a4f07
TrungNguyen1909/qemu-t8030,d32934c84c72f57e78d430c22974677b7bcabe5d,5d24ee70bcbcf578614193526bcd5ed30a8eb16c
TrungNguyen1909/qemu-t8030,8a8f5840082eb65d140ccfe7b128c92390cce1c3,fb6d1bbd246c7a57ef53d3847ef225cd1349d602
TrungNguyen1909/qemu-t8030,ddcb73b7782cb6104479503faea04cc224f982b5,b9d03e352cb6b31a66545763f6a1e20c9abf0c2c
TrungNguyen1909/qemu-t8030,2da8bb92fb128e686dc9e055defbc5652f7c001d,80376c3fc2c38fdd45354e4b0eb45031f35587ed
TrungNguyen1909/qemu-t8030,81bbe906c89b6b7af58a1eeb96ec5a0bfdc3386f,703e0e89
